id,common_name,scientific_name,cycle,watering,sunlight
1,European Silver Fir,Abies alba,Perennial,Frequent,full sun
2,Pyramidalis Silver Fir,Abies alba 'Pyramidalis',Perennial,Average,full sun
3,White Fir,Abies concolor,Perennial,Average,"Full sun, part shade"
4,Candicans White Fir,Abies concolor 'Candicans',Perennial,Average,full sun
5,Fraser Fir,Abies fraseri,Perennial,Frequent,"full sun, part shade, filtered shade"
6,Golden Korean Fir,Abies koreana 'Aurea',Perennial,Average,"Full sun, part shade"
7,Alpine Fir,Abies lasiocarpa,Perennial,Average,"full sun, part shade"
8,Blue Spanish Fir,Abies pinsapo 'Glauca',Perennial,Average,"Full sun, part shade"
9,Noble Fir,Abies procera,Perennial,Average,full sun
10,Johin Japanese Maple,Acer 'Johin',Perennial,Average,"full sun, part shade"
11,Snakebark Maple,Acer davidii,Perennial,Average,"Full sun, part shade"
12,Amur Maple,Acer ginnala,Perennial,Average,"full sun, part shade"
13,Flame Amur Maple,Acer ginnala 'Flame',Perennial,Frequent,full sun
14,Red Rhapsody Amur Maple,Acer ginnala 'Mondy',Perennial,Frequent,"full sun, part shade"
15,Ruby Slippers Amur Maple,Acer ginnala 'Ruby Slippers',Perennial,Frequent,"full sun, part shade"
16,Paperbark Maple,Acer griseum,Perennial,Average,"Full sun, part shade"
17,Fullmoon Maple,Acer japonicum,Perennial,Average,"Full sun, part shade"
18,Cutleaf Fullmoon Maple,Acer japonicum 'Aconitifolium',Perennial,Average,"Full sun, part shade"
19,Attaryi Fullmoon Maple*,Acer japonicum 'Attaryi',Perennial,Average,"full sun, part shade"
20,Golden Fullmoon Maple,Acer japonicum 'Aureum',Perennial,Average,"full sun, part shade"
21,Emmett's Pumpkin Fullmoon Maple,Acer japonicum 'Emmett's Pumpkin',Perennial,Average,"full sun, part shade, filtered shade"
22,Green Cascade Maple,Acer japonicum 'Green Cascade',Perennial,Average,"Full sun, part shade"
23,Big Leaf Maple,Acer macrophyllum,Perennial,Average,"full sun, part sun/part shade"
24,Mocha Rose Big Leaf Maple,Acer macrophyllum 'Mocha Rose',Perennial,Average,"full sun, part shade"
25,Flamingo Boxelder,Acer negundo 'Flamingo',Perennial,Average,"full sun, part sun/part shade"
26,Kelly's Gold Boxelder,Acer negundo 'Kelly's Gold',Perennial,Frequent,"full sun, part sun/part shade"
27,Japanese Maple,Acer palmatum,Perennial,Average,"Full sun, part shade"
28,Aka Shigitatsu Sawa Japanese Maple,Acer palmatum 'Aka Shigitatsu Sawa',Perennial,Frequent,part sun/part shade
29,Alpenweiss Variegated Dwarf Japanese Maple*,Acer palmatum 'Alpenweiss',Perennial,Average,"full sun, part shade"
30,Ao Shime No Uchi Japanese Maple,Acer palmatum 'Ao Shime No Uchi',Perennial,Frequent,"full sun, part shade"
31,Aoyagi Japanese Maple*,Acer palmatum 'Aoyagi',Perennial,Frequent,"full sun, part shade"
32,Arakawa Cork Bark Japanese Maple,Acer palmatum 'Arakawa',Perennial,Average,"Full sun, part shade"
33,Asahi Zuru Japanese Maple,Acer palmatum 'Asahi Zuru',Perennial,Average,"full sun, part shade"
34,Ribbon-leaf Japanese Maple*,Acer palmatum 'Atrolineare',Perennial,Minimum,"full sun, part shade"
35,Purple-Leaf Japanese Maple,Acer palmatum 'Atropurpureum',Perennial,Average,"full sun, part shade"
36,Aureum Japanese Maple*,Acer palmatum 'Aureum',Perennial,Average,"part shade, part sun/part shade"
37,Autumn Fire Japanese Maple,Acer palmatum 'Autumn Fire',Perennial,Average,"full sun, part shade"
38,Azuma Murasaki Japanese Maple,Acer palmatum 'Azuma Murasaki',Perennial,Average,"full sun, part shade"
39,Beni Kawa Coral Bark Japanese Maple*,Acer palmatum 'Beni Kawa',Perennial,Frequent,"full sun, part shade"
40,Beni Otake Japanese Maple,Acer palmatum 'Beni Otake',Perennial,Average,"full sun, part shade"
41,Beni Schichihenge Japanese Maple,Acer palmatum 'Beni Schichihenge',Perennial,Average,"full sun, part shade"
42,Beni Tsukasa Japanese Maple*,Acer palmatum 'Beni Tsukasa',Perennial,Average,"full sun, part shade"
43,Bloodgood Japanese Maple,Acer palmatum 'Bloodgood',Perennial,Average,"full sun, part sun/part shade"
44,Bonfire Japanese Maple,Acer palmatum 'Bonfire',Perennial,Average,"full sun, part shade"
45,Brandt's Dwarf Japanese Maple,Acer palmatum 'Brandt's Dwarf',Perennial,Average,"full sun, part shade"
46,Burgundy Lace Japanese Maple,Acer palmatum 'Burgundy Lace',Perennial,Average,"full sun, part shade"
47,Butterfly Variegated Japanese Maple,Acer palmatum 'Butterfly',Perennial,Average,"Full sun, part shade"
48,Chantilly Lace Japanese Maple,Acer palmatum 'Chantilly Lace',Perennial,Frequent,"full sun, part shade"
49,Chishio Japanese Maple,Acer palmatum 'Chishio',Perennial,Average,"full sun, part shade"
50,Chitose Yama Japanese Maple,Acer palmatum 'Chitose Yama',Perennial,Frequent,"full sun, part shade"
51,Coonara Pygmy Japanese Maple,Acer palmatum 'Coonara Pygmy',Perennial,Average,"full sun, part shade"
52,Crimson Prince Japanese Maple*,Acer palmatum 'Crimson Prince',Perennial,Average,"full sun, part shade"
53,Ever Red Lace-Leaf Japanese Maple*,Acer palmatum 'Ever Red',Perennial,Average,full sun
54,Glowing Embers Japanese Maple*,Acer palmatum 'Glowing Embers',Perennial,Average,"full sun, part shade"
55,Grandma Ghost Japanese Maple*,Acer palmatum 'Grandma Ghost',Perennial,Average,"full sun, part shade"
56,Green Hornet Cutleaf Japanese Maple*,Acer palmatum 'Green Hornet',Perennial,Average,"full sun, part shade"
57,Green Mist Japanese Maple*,Acer palmatum 'Green Mist',Perennial,Average,"full sun, part shade"
58,Shirazz Japanese Maple,Acer palmatum 'Gwen's Rose Delight',Perennial,Average,"full sun, part shade"
59,Hessei Japanese Maple,Acer palmatum 'Hessei',Perennial,Average,"part shade, part sun/part shade"
60,Higasa Yama Japanese Maple,Acer palmatum 'Higasa Yama',Perennial,Average,"part sun/part shade, part shade"
61,Hogyoku Japanese Maple,Acer palmatum 'Hogyoku',Perennial,Average,"full sun, part shade"
62,Hubb's Red Willow Japanese Maple,Acer palmatum 'Hubb's Red Willow',Perennial,Frequent,"part shade, part sun/part shade"
63,Iijima Sunago Japanese Maple,Acer palmatum 'Iijima Sunago',Perennial,Average,"full sun, part shade"
64,Inaba Shidare Cutleaf Japanese Maple,Acer palmatum 'Inaba Shidare',Perennial,Frequent,"full sun, part shade"
65,Inazuma Japanese Maple,Acer palmatum 'Inazuma',Perennial,Average,"full sun, part shade"
66,Jiro Shidare Japanese Maple,Acer palmatum 'Jiro Shidare',Perennial,Frequent,"full sun, part shade"
67,Kagiri Nishiki Japanese Maple,Acer palmatum 'Kagiri Nishiki',Perennial,Frequent,"full sun, part shade"
68,Kamagata Japanese Maple,Acer palmatum 'Kamagata',Perennial,Average,"full sun, part shade"
69,Kandy Kitchen Japanese Maple,Acer palmatum 'Kandy Kitchen',Perennial,Average,"full sun, part shade"
70,Karasu Gawa Japanese Maple*,Acer palmatum 'Karasu Gawa',Perennial,Average,"full sun, part shade"
71,Kasagi Yama Japanese Maple,Acer palmatum 'Kasagi Yama',Perennial,Average,"full sun, part shade"
72,Katsura Japanese Maple,Acer palmatum 'Katsura',Perennial,Average,"part shade, part sun/part shade"
73,Kiri Nishiki Japanese Maple,Acer palmatum 'Kiri Nishiki',Perennial,Frequent,"full sun, part sun/part shade"
74,Kiyohime Japanese Maple,Acer palmatum 'Kiyohime',Perennial,Frequent,"full sun, part shade"
75,Koshibori Nishiki Japanese Maple*,Acer palmatum 'Koshibori Nishiki',Perennial,Average,"full sun, part shade"
76,Koto No Ito Japanese Maple,Acer palmatum 'Koto No Ito',Perennial,Average,"filtered shade, full sun only if soil kept moist, part sun/part shade"
77,Linearilobum Japanese Maple,Acer palmatum 'Linearilobum',Perennial,Average,"full sun, part shade"
78,Margaret Bee Japanese Maple,Acer palmatum 'Margaret Bee',Perennial,Average,"part shade, part sun/part shade"
79,Mikawa Yatsubusa Japanese Maple,Acer palmatum 'Mikawa Yatsubusa',Perennial,Average,"part shade, part sun/part shade"
80,Mikazuki Japanese Maple,Acer palmatum 'Mikazuki',Perennial,Average,"full sun, part shade"
81,Moonfire Japanese Maple,Acer palmatum 'Moonfire',Perennial,Average,"part sun/part shade, full sun"
82,Nishiki Gawa Japanese Maple*,Acer palmatum 'Nishiki Gawa',Perennial,Average,full sun
83,Nuresagi Japanese Maple,Acer palmatum 'Nuresagi',Perennial,Frequent,"full sun, part shade"
84,Okagami Japanese Maple,Acer palmatum 'Okagami',Perennial,Average,"full sun, part shade"
85,Okushimo Japanese Maple,Acer palmatum 'Okushimo',Perennial,Average,"full sun, part shade"
86,Orange Dream Japanese Maple,Acer palmatum 'Orange Dream',Perennial,Average,"full sun, part shade"
87,Orangeola Cutleaf Japanese Maple,Acer palmatum 'Orangeola',Perennial,Average,"full sun, part shade"
88,Oregon Sunset Japanese Maple,Acer palmatum 'Oregon Sunset',Perennial,Average,"full sun, part shade"
89,Oridono Nishiki Japanese Maple*,Acer palmatum 'Oridono Nishiki',Perennial,Average,"full sun, part shade"
90,Ornatum Japanese Maple*,Acer palmatum 'Ornatum',Perennial,Average,"full sun, part shade"
91,Osakazuki Japanese Maple,Acer palmatum 'Osakazuki',Perennial,Average,"full sun, part shade"
92,Oshio Beni Japanese Maple,Acer palmatum 'Oshio Beni',Perennial,Average,"full sun, part shade"
93,Oshu Shidare Japanese Maple,Acer palmatum 'Oshu Shidare',Perennial,Frequent,"full sun, part shade"
94,Otake Japanese Maple,Acer palmatum 'Otake',Perennial,Frequent,"full sun, part shade"
95,Otome Zakura Japanese Maple*,Acer palmatum 'Otome Zakura',Perennial,Average,"full sun, part shade"
96,Palmatifidum Japanese Maple*,Acer palmatum 'Palmatifidum',Perennial,Average,"full sun, part shade"
97,Peaches And Cream Japanese Maple,Acer palmatum 'Peaches And Cream',Perennial,Frequent,"full sun, part shade"
98,Pendulum Julian Japanese Maple*,Acer palmatum 'Pendulum Julian',Perennial,Frequent,"full sun, part shade"
99,Pink Lace Japanese Maple*,Acer palmatum 'Pink Lace',Perennial,Frequent,full sun
100,Pixie Japanese Maple,Acer palmatum 'Pixie',Perennial,Average,"full sun, part shade"
101,Purple Ghost Japanese Maple*,Acer palmatum 'Purple Ghost',Perennial,Average,"full sun, part shade"
102,Red Dragon Japanese Maple,Acer palmatum 'Red Dragon',Perennial,Average,"full sun, part shade"
103,Red Feathers Japanese Maple*,Acer palmatum 'Red Feathers',Perennial,Average,"full sun, part shade"
104,Red Filigree Lace Japanese Maple,Acer palmatum 'Red Filigree Lace',Perennial,Average,"full sun, part shade"
105,Dwarf Red Pygmy Japanese Maple,Acer palmatum 'Red Pygmy',Perennial,Average,"full sun, part shade"
106,Red Select Japanese Maple*,Acer palmatum 'Red Select',Perennial,Frequent,"full sun, part shade"
107,Rhode Island Red Japanese Maple,Acer palmatum 'Rhode Island Red',Perennial,Average,"full sun, part shade"
108,Ruby Ridge Japanese Maple*,Acer palmatum 'Ruby Ridge',Perennial,Average,"full sun, part shade"
109,Ruby Stars Japanese Maple*,Acer palmatum 'Ruby Stars',Perennial,Average,"full sun, part shade"
110,Ruslyn In The Pink Japanese Maple,Acer palmatum 'Ruslyn In The Pink',Perennial,Frequent,"part sun/part shade, part shade"
111,Ryusen Japanese Maple,Acer palmatum 'Ryusen',Perennial,Average,"full sun, part shade"
112,Sagara Nishiki Japanese Maple,Acer palmatum 'Sagara Nishiki',Perennial,Average,"full sun, part shade"
113,Samurai Sword Japanese Maple,Acer palmatum 'Samarzam',Perennial,Average,"full sun, part shade"
114,Coral Bark Japanese Maple,Acer palmatum 'Sango Kaku',Perennial,Average,"full sun, part shade"
115,Sazanami Japanese Maple,Acer palmatum 'Sazanami',Perennial,Average,"full sun, part shade"
116,Scolopendrifolium Japanese Maple,Acer palmatum 'Scolopendrifolium',Perennial,Average,"full sun, part shade"
117,Seiryu Japanese Maple,Acer palmatum 'Seiryu',Perennial,Frequent,part sun/part shade
118,Shaina Japanese Maple,Acer palmatum 'Shaina',Perennial,Average,"full sun, part shade"
119,Sherwood Elfin Japanese Maple*,Acer palmatum 'Sherwood Elfin',Perennial,Average,"full sun, part shade"
120,Sherwood Flame Japanese Maple,Acer palmatum 'Sherwood Flame',Perennial,Average,"full sun, part shade"
121,Shindeshojo Japanese Maple,Acer palmatum 'Shindeshojo',Perennial,Average,"full sun, part shade"
122,Shinobuga Oka Japanese Maple*,Acer palmatum 'Shinobuga Oka',Perennial,Average,full sun
123,Lions Head Japanese Maple,Acer palmatum 'Shishigashira',Perennial,Average,"full sun, part shade"
124,Shishio Hime Japanese Maple*,Acer palmatum 'Shishio Hime',Perennial,Frequent,"full sun, part shade"
125,Spring Delight Japanese Maple,Acer palmatum 'Spring Delight',Perennial,Average,"full sun, part shade"
126,Suminagashi Japanese Maple,Acer palmatum 'Suminagashi',Perennial,Average,"full sun, part shade"
127,Tama Hime Japanese Maple,Acer palmatum 'Tama Hime',Perennial,Frequent,"full sun, part shade"
128,Tamukeyama Japanese Maple,Acer palmatum 'Tamukeyama',Perennial,Average,"full sun, part shade"
129,Tana Japanese Maple*,Acer palmatum 'Tana',Perennial,Average,"full sun, part shade"
130,Tobiosho Japanese Maple,Acer palmatum 'Tobiosho',Perennial,Frequent,"full sun, part shade"
131,Trompenburg Japanese Maple*,Acer palmatum 'Trompenburg',Perennial,Average,"full sun, part shade"
132,Tsukasa Silhouette Japanese Maple*,Acer palmatum 'Tsukasa Silhouette',Perennial,Average,"full sun, part shade"
133,Tsuma Gaki Japanese Maple,Acer palmatum 'Tsuma Gaki',Perennial,Frequent,"full sun, part shade"
